[2607.436, 106.3203;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2599.9863, 109.95939;
 2599.9863, 109.95939;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2607.436, 106.3203;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2582.6033, 112.40768;
 2582.6033, 112.40768;
 2582.6033, 112.40768;
 2582.6033, 112.40768;
 2582.6033, 112.40768;
 2589.9614, 108.79632;
 2589.9614, 108.79632;
 2589.9614, 108.79632;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2597.3611, 105.16431;
 2604.8035, 101.51148;
 2604.8035, 101.51148;
 2604.8035, 101.51148;
 2604.8035, 101.51148;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2572.6843, 111.24427;
 2572.6843, 111.24427;
 2572.6843, 111.24427;
 2572.6843, 111.24427;
 2572.6843, 111.24427;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2579.9932, 107.63985;
 2587.3435, 104.01489;
 2587.3435, 104.01489;
 2587.3435, 104.01489;
 2594.7358, 100.36922;
 2594.7358, 100.36922;
 2562.8213, 110.0875;
 2562.8213, 110.0875;
 2562.8213, 110.0875;
 2570.0815, 106.49003;
 2577.3828, 102.87209;
 2577.3828, 102.87209;
 2577.3828, 102.87209;
 2584.7258, 99.233559;
 2584.7258, 99.233559;
 2560.2256, 105.3466;
 2560.2256, 105.3466;
 2567.4785, 101.73569;
 2567.4785, 101.73569;
 2574.7725, 98.104256;
 2574.7725, 98.104256;
 2574.7725, 98.104256;
 2564.8757, 96.981361;
 2564.8757, 96.981361;
 2572.1621, 93.336418;
 2572.1621, 93.336418;
 2562.2727, 92.227119;
 2562.2727, 92.227119;
 2569.5518, 88.568665]
